"User_ID,UTC_Time,Account,Operation,Coin,Change,Remark"
"163789747,2021-10-19 22:12:47,Spot,Deposit,EUR,294.60000000,"""""
"163789747,2021-10-19 22:16:09,Spot,Fee,EGLD,-0.00126000,"""""
"163789747,2021-10-19 22:16:09,Spot,Transaction Spend,EUR,-246.51900000,"""""
"163789747,2021-10-19 22:16:09,Spot,Transaction Buy,EGLD,1.26000000,"""""
"163789747,2021-10-24 17:15:48,Spot,Binance Convert,CAKE,5.00000000,"""""
"163789747,2021-10-24 17:15:48,Spot,Binance Convert,EGLD,-0.33872355,"""""
"163789747,2021-10-24 17:18:43,Spot,Binance Convert,LINK,3.00000000,"""""
"163789747,2021-10-24 17:18:43,Spot,Binance Convert,EGLD,-0.30987446,"""""
"163789747,2021-10-24 17:20:10,Spot,Binance Convert,LTC,0.93083262,"""""
"163789747,2021-10-24 17:20:10,Spot,Binance Convert,EGLD,-0.61014199,"""""
"163789747,2021-10-24 17:31:00,Spot,Binance Convert,DAI,81.37997359,"""""
"163789747,2021-10-24 17:31:00,Spot,Binance Convert,LTC,-0.43083262,"""""
"163789747,2021-10-24 17:32:34,Earn,Simple Earn Flexible Subscription,CAKE,-5.00000000,"""""
"163789747,2021-10-24 17:32:34,Spot,Savings Distribution,LDCAKE,5.00000000,"""""
"163789747,2021-10-24 17:33:57,Spot,Savings Distribution,LDDAI,81.37997359,"""""
"163789747,2021-10-24 17:33:57,Earn,Simple Earn Flexible Subscription,DAI,-81.37997359,"""""
"163789747,2021-10-24 17:38:54,Spot,Binance Convert,LINK,-1.00000000,"""""
"163789747,2021-10-24 17:38:54,Spot,Binance Convert,FET,40.05238852,"""""
"163789747,2021-10-25 18:04:08,Spot,Fee,VET,-0.25000000,"""""
"163789747,2021-10-25 18:04:08,Spot,Transaction Spend,EUR,-30.05000000,"""""
"163789747,2021-10-25 18:04:08,Spot,Transaction Buy,VET,250.00000000,"""""
"163789747,2021-10-25 18:04:16,Spot,Fee,VET,-0.15000000,"""""
"163789747,2021-10-25 18:04:16,Spot,Transaction Spend,EUR,-18.03000000,"""""
"163789747,2021-10-25 18:04:16,Spot,Transaction Buy,VET,150.00000000,"""""
"163789747,2021-10-26 02:09:39,Earn,Simple Earn Flexible Interest,CAKE,0.00068495,"""""
"163789747,2021-10-26 02:39:53,Earn,Simple Earn Flexible Interest,DAI,0.01010006,"""""
"163789747,2021-10-26 06:03:00,Spot,Savings Distribution,LDCAKE,0.00068495,"""""
"163789747,2021-10-26 06:03:00,Earn,Simple Earn Flexible Subscription,DAI,-0.01010006,"""""
"163789747,2021-10-26 06:03:00,Spot,Savings Distribution,LDDAI,0.01010006,"""""
"163789747,2021-10-26 06:03:00,Earn,Simple Earn Flexible Subscription,CAKE,-0.00068495,"""""
"163789747,2021-10-27 02:01:38,Earn,Simple Earn Flexible Interest,CAKE,0.00068495,"""""
"163789747,2021-10-27 02:22:28,Earn,Simple Earn Flexible Interest,DAI,0.01010006,"""""
"163789747,2021-10-27 06:18:20,Earn,Simple Earn Flexible Subscription,DAI,-0.01010006,"""""
"163789747,2021-10-27 06:18:20,Spot,Savings Distribution,LDCAKE,0.00068495,"""""
"163789747,2021-10-27 06:18:20,Earn,Simple Earn Flexible Subscription,CAKE,-0.00068495,"""""
"163789747,2021-10-27 06:18:21,Spot,Savings Distribution,LDDAI,0.01010006,"""""
"163789747,2021-10-28 03:13:40,Earn,Simple Earn Flexible Interest,CAKE,0.00068504,"""""
"163789747,2021-10-28 03:16:51,Earn,Simple Earn Flexible Interest,DAI,0.01010132,"""""
"163789747,2021-10-28 23:30:57,Spot,Savings Distribution,LDCAKE,0.00068504,"""""
"163789747,2021-10-28 23:30:57,Earn,Simple Earn Flexible Subscription,CAKE,-0.00068504,"""""
"163789747,2021-10-28 23:30:57,Earn,Simple Earn Flexible Subscription,DAI,-0.01010132,"""""
"163789747,2021-10-28 23:30:58,Spot,Savings Distribution,LDDAI,0.01010132,"""""
"163789747,2021-10-29 02:13:57,Earn,Simple Earn Flexible Interest,DAI,0.01010257,"""""
"163789747,2021-10-29 02:21:34,Earn,Simple Earn Flexible Interest,CAKE,0.00068513,"""""
"163789747,2021-10-29 05:55:50,Spot,Savings Distribution,LDCAKE,0.00068513,"""""
"163789747,2021-10-29 05:55:50,Earn,Simple Earn Flexible Subscription,CAKE,-0.00068513,"""""
"163789747,2021-10-29 05:55:51,Spot,Savings Distribution,LDDAI,0.01010257,"""""
"163789747,2021-10-29 05:55:51,Earn,Simple Earn Flexible Subscription,DAI,-0.01010257,"""""
"163789747,2021-10-30 02:58:57,Spot,Savings Distribution,LDVET,99.60000000,"""""
"163789747,2021-10-30 02:58:57,Earn,Simple Earn Flexible Subscription,VET,-99.60000000,"""""
